Domain Code;Domain;Area Code;Area;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Domain Code;Domain;Area Code;Area;Element Code;Element;Months Code;Months;Year Code;Year;Unit;Value;Flag;Flag Description
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1990;1990;1000 USD;3483066;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1990;1990;°c;0,446;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1991;1991;1000 USD;3615094;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1991;1991;°c;0,452;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1992;1992;1000 USD;3077700;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1992;1992;°c;0,391;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1993;1993;1000 USD;3040574;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1993;1993;°c;0,455;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1994;1994;1000 USD;3108411;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1994;1994;°c;0,605;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1995;1995;1000 USD;2211632;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1995;1995;°c;0,787;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1996;1996;1000 USD;3255610;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1996;1996;°c;0,509;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1997;1997;1000 USD;2921101;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1997;1997;°c;0,703;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1998;1998;1000 USD;4016896;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1998;1998;°c;1,253;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;1999;1999;1000 USD;3880142;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;1999;1999;°c;0,559;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2000;2000;1000 USD;4526201;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2000;2000;°c;0,533;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2001;2001;1000 USD;4326486;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2001;2001;°c;0,795;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2002;2002;1000 USD;6207182;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2002;2002;°c;1,071;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2003;2003;1000 USD;4724772;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2003;2003;°c;0,964;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2004;2004;1000 USD;5862850;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2004;2004;°c;0,82;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2005;2005;1000 USD;5088794;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2005;2005;°c;1,157;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2006;2006;1000 USD;6118835;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2006;2006;°c;0,836;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2007;2007;1000 USD;5347594;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2007;2007;°c;0,989;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2008;2008;1000 USD;6650403;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2008;2008;°c;0,73;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2009;2009;1000 USD;5801852;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2009;2009;°c;0,966;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2010;2010;1000 USD;6912759;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2010;2010;°c;1,133;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2011;2011;1000 USD;6421218;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2011;2011;°c;0,806;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2012;2012;1000 USD;7222507;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2012;2012;°c;1,077;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2013;2013;1000 USD;7048940;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2013;2013;°c;0,996;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2014;2014;1000 USD;6667387;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2014;2014;°c;1,217;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2015;2015;1000 USD;6295112;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2015;2015;°c;1,601;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2016;2016;1000 USD;7191434;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2016;2016;°c;1,545;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2017;2017;1000 USD;6383098;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2017;2017;°c;1,441;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2018;2018;1000 USD;8447514;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2018;2018;°c;1,201;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2019;2019;1000 USD;7161187;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2019;2019;°c;1,589;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2020;2020;1000 USD;8811286;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2020;2020;°c;1,499;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2021;2021;1000 USD;7098975;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2021;2021;°c;1,223;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2022;2022;1000 USD;7559297;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2022;2022;°c;1,03;E;Estimated value
QV;Value of Agricultural Production;21;Brazil;58;Gross Production Value (constant 2014-2016 thousand US$);656;Coffee, green;2023;2023;1000 USD;8096885;E;Estimated value;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2023;2023;°c;1,689;E;Estimated value
;;;;;;;;;;;;;;ET;Temperature change on land;21;Brazil;7271;Temperature change;7020;Meteorological year;2024;2024;°c;2,081;E;Estimated value
